"143","125","2004-3-3","sent res230"
"144","222","2004-12-1","called to say loan had preliminary approval"
"145","119","2005-1-4","emailed res242 - Unix to gpham11@aol.com, gpham11@cox.net"
"146","98","2006-12-22","sent resume 2.5.2"
"147","8","2007-3-22","agreed to be a reference"
"148","98","2007-1-4","Son-in-law (Randy Wilmer) tried to get me work at Samsung"
"149","200","2007-3-23","Agreed to be a reference"
"150","98","2007-3-23","Sent reference info"
"151","118","2007-3-23","sent reference info"
"152","118","2007-4-1","sent refernce info"
"153","228","2007-3-27","Sent reference info"
"154","228","2008-2-1","Sent reference info"
"155","75","2007-4-1","Requested personal reference"
"156","98","2008-1-25","Sent new reference info"
"157","118","2008-2-1","sent refernce info"
"158","243","2008-4-3","Agreed to provide reference"
"121","203","2004-3-3","sent res230 for VBA position in Columbia"
"122","203","2004-3-4","interviewed for position & called him back"
"124","206","2004-3-2","sent res230 for Siebel position in Oakland, CA"
"125","207","2004-3-2","Sent res230 on for Amex financial advisor pos"
