100,a primary key composed of more than one column,C   K,composite key,
106,what happens to a parent object also affecting the child object,C,cascading,
107,the possible values for the cascade attribute,A   D   N   S-U,all  delete  none  save-update,
107,a reflexive link is where objects have ___,A   B   T   T,associations back to themselves,
107,a good example of using a reflexive link,A   V,alias values,
108,in a reflexive link do not name a foreign key ___,T   S   A   T   A   P   K,the same as the associated primary key,
112,complex types,UT   CUT,UserType  CompositeUserType,
113,Java type perfect for combo or list boxes,E,enum,
113,when you implement the (Composite)UserType what actually implements it,A   S   C,a separate class,
113,use a CompositeUserType when you want to ___,E   I   I   S,expose its internal structures,
119,the enum is a ___ rather than an ___,V   E,value  entity,
120,when you declare a composite type you must also specify the properties and methods of its ___,<T>T,<type>Type,
121,UserTypes must be ___ before other types,C   B,compiled before,
129,when you specify the composite type's type you must consider if it's ___,M,mutable,
129,a class that is used as a property should implement this,J.I.S,java.io.Serializable,
134,allow ___ of mutable objects,so they aren't accidentally overwritten,D   C,deep copying
140,you can ___ annotation classes,D   Y   O,define your own,
141,unlike mapping documents annotations do not ___,G   J   C,generate Java code,
142,with annotations,the ___ before the schema is generated,C   M   B   C,classes must be compiled
143,the annotation that marks the class as persistable,E,Entity,
143,the annotation that stores the queries associated with the class,NQ,NamedQueries,
144,annotation that indicates an intrinsically generated primary key,I,Id,
150,annotation that indicates what database type a particular Java type corresponds to,T,Temporal,
150,annotation that indicates a subtable,COE,CollectionOfElements,
151,annotation that indicates an enumeration,E,Enumerated,
151,annotation that indicates an object,E,Embedded,
151,annotation to make column names different from property names,AO,AttributeOverride,
153,annotation that indicates a subset that is an entity and not a subtable,OTM,OneToMany,
153,annotation that indicates the class is not an entity,E,Embeddable,
157,classes needed to work with annotations,C   AC,Configuration  AnnotationConfiguration,
160,alternative to making a class embedded is to set the foreign key with the following attributes,MTO   JC,ManyToOne  JoinColumn,
160,attributes to set for the JC above,I   U   N,insertable  nullable updatable,
164,class like Query but enables you to add filters,C,Criteria,
164,class whose methods allow you to add filters to a C above,R,Restrictions,
166,class whose methods allow you to set sorting to a C above,O,Order,
167,Restrictions method that makes all the Restrictions connect via an OR,D,disjunction,
168,the generic process of requesting some of the columns of a table rather than all of them,P,projection,
169,the class and method to limit the properties that are returned,P   P,Projections  property,
169,the Criteria non-static method to get the above,SP,setProjection,
170,the Projections static method to include more than one Projection in a Criteria,PL,projectionList,
175,class enabling query by example,E,Example,
175,Example method to instantiate itself,C,create,
177,class that can be used for the same purpose as Restrictions,P,Property,
180,other than reserved words what you include in HQL queries,C   P,classes  properties,
181,keyword to apply projection in an HQL query,S,select,
190,HQL keyword to use for filter subqueries,E,elements,
192,Session non-static method that runs native database queries,CSQ,createSQLQuery,
193,to run a native query you must also have this tag instead of query,S-Q,sql-query,
193,to embed the class name in such a native query use this tag and attribute,R   A,return  alias,
193,both HQL and native queries are invoked by this Session non-static method,GNQ,getNamedQuery,
194,S-Q above will also work with these,S   P,stored procedures,
195,use this to select elements from indexed collections,A   B   N,array bracket notation,
269,the Spring containers holding your code are ___,A   A   T   U   P   T,agnostic about the underlying persistence technology,
272,DAO consolidates these into a single interface,T   P   O,the persistence operations,
275,the class you need to extend to make DAO work with Hibernate,HDS,HibernateDaoSupport,
277,generic database operation that updates an existing row or inserts a new one if one isn't returned,M,merge,
277,general HDS above non-static method to retrieve your bean,GHT,getHibernateTemplate,
277,general HDS above non-static method to start a session,GS,getSession,
278,create this object when you want to execute some Hibernate-specific code within a HibernateTemplate,HC,HibernateCallback,
278,HibernateTemplate method that returns all from a table,F   LA,find  loadAll,
278,HibernateTemplate method that returns records where you can pass arguments,FBNP,findByNamedParameter,
278,HibernateTemplate method that allows you to invoke a predefined query,FBNQ,findByNamedQuery,
278,HibernateTemplate method that returns records where you find by property values,FBE,findByExample,
279,HibernateTemplate method that directly returns multiple rows that you can cursor through,I,iterate,
279,object returned by I above,I,iterator,
280,DML methods from a HibernateTemplate,M   S   U,merge  save  update,
281,for Spring to work you need an XML document that does 3 things,D T C O E B    A I A I    E I R T O B,describes the class of each bean   assigns it an id   establishes a relationship to other beans,
281,Spring uses the XML document to create this object,AC,ApplicationContext,
282,the top-level element in the XML document,B,beans,
283,the attributes in the top-level element above,NS,namespaces,
283,the namespaces are URI's for these,S   R,Spring resources,
284,bean that takes care of Session management,SF,sessionFactory,
285,bean concerned with implementing changes to the database,TM,transactionManager,
285,you must also specify in this XML document in regards to Hibernate its ___,H   C   P,Hibernate configuration properties,
285,the HCP above are analogous to the ADO ___,C   P,Connection properties,
286,Spring interface that encapsulates transaction managment,PTM,PlatformTransactionManager,
286,Hibernate class that implements PTM above,HTM,HibernateTransactionManager,
287,Spring class that manages lazy loading of associations,PS,PersistentSet,
287,the Spring class derived from the XML relationship document,AC,ApplicationContext,
288,Spring subclass from the AC above instance,CPXAC,ClassPathXmlApplicationContext,
292,method that CPXAC above uses to return a bean,GB,getBean,
295,Spring is best used for ___ applications,L,large,
295,the tradeoff for using Spring is that it ___,M   H   H   T   D,makes Hibernate harder to debug,
